"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2003","Bulgaria","Total","Percentage of total population","Total","7.3",""
"2003","Czechia","Total","Percentage of total population","Total","5.0",""
"2003","Denmark","Total","Percentage of total population","Total","3.9",""
"2003","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"2003","Estonia","Total","Percentage of total population","Total","6.6",""
"2003","Ireland","Total","Percentage of total population","Total","3.0",""
"2003","Greece","Total","Percentage of total population","Total","5.6","d"
"2003","Spain","Total","Percentage of total population","Total","6.9",""
"2003","France","Total","Percentage of total population","Total","5.0",""
"2003","Croatia","Total","Percentage of total population","Total",":",""
"2003","Italy","Total","Percentage of total population","Total","4.6",""
"2003","Cyprus","Total","Percentage of total population","Total","3.7",""
"2003","Latvia","Total","Percentage of total population","Total","7.2",""
"2003","Lithuania","Total","Percentage of total population","Total","7.8",""
"2003","Luxembourg","Total","Percentage of total population","Total","2.1",""
"2003","Hungary","Total","Percentage of total population","Total","3.2",""
"2003","Malta","Total","Percentage of total population","Total","4.0",""
"2003","Netherlands","Total","Percentage of total population","Total","2.6",""
"2003","Austria","Total","Percentage of total population","Total","2.8","d"
"2003","Poland","Total","Percentage of total population","Total","11.4",""
"2003","Portugal","Total","Percentage of total population","Total","4.7",""
"2003","Romania","Total","Percentage of total population","Total","4.1","d"
"2003","Slovenia","Total","Percentage of total population","Total","4.0",""
"2003","Slovakia","Total","Percentage of total population","Total","11.2",""
"2003","Finland","Total","Percentage of total population","Total","6.0",""
"2003","Sweden","Total","Percentage of total population","Total","4.8",""
"2003","United Kingdom","Total","Percentage of total population","Total","3.4",""
"2003","Iceland","Total","Percentage of total population","Total","2.7",""
"2003","Norway","Total","Percentage of total population","Total","2.9",""
"2003","Turkey","Total","Percentage of total population","Total",":",""
"2003","United States","Total","Percentage of total population","Total",":",""
"2003","Japan","Total","Percentage of total population","Total",":",""
"2004","European Union (current composition)","Total","Percentage of total population","Total",":",""
"2004","European Union (before the accession of Croatia)","Total","Percentage of total population","Total",":",""
"2004","Belgium","Total","Percentage of total population","Total","4.9",""
"2004","Bulgaria","Total","Percentage of total population","Total","6.6",""
"2004","Czechia","Total","Percentage of total population","Total","5.3",""
"2004","Denmark","Total","Percentage of total population","Total","4.0",""
"2004","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"2004","Estonia","Total","Percentage of total population","Total","6.5",""
"2004","Ireland","Total","Percentage of total population","Total","2.9",""
"2004","Greece","Total","Percentage of total population","Total","6.1",""
"2004","Spain","Total","Percentage of total population","Total","6.7",""
"2004","France","Total","Percentage of total population","Total","5.2",""
"2004","Croatia","Total","Percentage of total population","Total",":",""
"2004","Italy","Total","Percentage of total population","Total","4.4",""
"2004","Cyprus","Total","Percentage of total population","Total","3.4","d"
"2004","Latvia","Total","Percentage of total population","Total","7.3",""
"2004","Lithuania","Total","Percentage of total population","Total","6.7",""
"2004","Luxembourg","Total","Percentage of total population","Total","3.0",""
"2004","Hungary","Total","Percentage of total population","Total","3.3",""
"2004","Malta","Total","Percentage of total population","Total","3.8",""
"2004","Netherlands","Total","Percentage of total population","Total","3.2",""
"2004","Austria","Total","Percentage of total population","Total","3.5",""
"2004","Poland","Total","Percentage of total population","Total","11.1",""
"2004","Portugal","Total","Percentage of total population","Total","5.0",""
"2004","Romania","Total","Percentage of total population","Total","4.7",""
"2004","Slovenia","Total","Percentage of total population","Total","4.0",""
"2004","Slovakia","Total","Percentage of total population","Total","11.6",""
"2004","Finland","Total","Percentage of total population","Total","5.8",""
"2004","Sweden","Total","Percentage of total population","Total","5.4",""
"2004","United Kingdom","Total","Percentage of total population","Total","3.2",""
"2004","Iceland","Total","Percentage of total population","Total","2.4",""
"2004","Norway","Total","Percentage of total population","Total","3.0",""
"2004","Turkey","Total","Percentage of total population","Total",":",""
"2004","United States","Total","Percentage of total population","Total",":",""
"2004","Japan","Total","Percentage of total population","Total",":",""
"2005","European Union (current composition)","Total","Percentage of total population","Total","5.5",""
"2005","European Union (before the accession of Croatia)","Total","Percentage of total population","Total","5.5",""
"2005","Belgium","Total","Percentage of total population","Total","5.0",""
"2005","Bulgaria","Total","Percentage of total population","Total","5.5",""
"2005","Czechia","Total","Percentage of total population","Total","5.1",""
"2005","Denmark","Total","Percentage of total population","Total","3.5",""
"2005","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","7.2","d"
"2005","Estonia","Total","Percentage of total population","Total","5.1",""
"2005","Ireland","Total","Percentage of total population","Total","2.9",""
"2005","Greece","Total","Percentage of total population","Total","5.8",""
"2005","Spain","Total","Percentage of total population","Total","5.7",""
"2005","France","Total","Percentage of total population","Total","5.3",""
"2005","Croatia","Total","Percentage of total population","Total","7.1",""
"2005","Italy","Total","Percentage of total population","Total","4.2",""
"2005","Cyprus","Total","Percentage of total population","Total","3.6",""
"2005","Latvia","Total","Percentage of total population","Total","6.2",""
"2005","Lithuania","Total","Percentage of total population","Total","5.1",""
"2005","Luxembourg","Total","Percentage of total population","Total","2.7",""
"2005","Hungary","Total","Percentage of total population","Total","3.9",""
"2005","Malta","Total","Percentage of total population","Total","3.6",""
"2005","Netherlands","Total","Percentage of total population","Total","3.3",""
"2005","Austria","Total","Percentage of total population","Total","3.6",""
"2005","Poland","Total","Percentage of total population","Total","10.4",""
"2005","Portugal","Total","Percentage of total population","Total","5.7",""
"2005","Romania","Total","Percentage of total population","Total","4.1",""
"2005","Slovenia","Total","Percentage of total population","Total","4.2",""
"2005","Slovakia","Total","Percentage of total population","Total","10.3",""
"2005","Finland","Total","Percentage of total population","Total","5.6",""
"2005","Sweden","Total","Percentage of total population","Total","5.5",""
"2005","United Kingdom","Total","Percentage of total population","Total","3.2",""
"2005","Iceland","Total","Percentage of total population","Total","2.1",""
"2005","Norway","Total","Percentage of total population","Total","3.2",""
"2005","Turkey","Total","Percentage of total population","Total","8.8",""
"2005","United States","Total","Percentage of total population","Total",":",""
"2005","Japan","Total","Percentage of total population","Total",":",""
"2006","European Union (current composition)","Total","Percentage of total population","Total","5.1",""
"2006","European Union (before the accession of Croatia)","Total","Percentage of total population","Total","5.1",""
"2006","Belgium","Total","Percentage of total population","Total","4.9",""
"2006","Bulgaria","Total","Percentage of total population","Total","5.1",""
"2006","Czechia","Total","Percentage of total population","Total","4.6",""
"2006","Denmark","Total","Percentage of total population","Total","2.8","d"
"2006","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","6.6",""
"2006","Estonia","Total","Percentage of total population","Total","3.9",""
"2006","Ireland","Total","Percentage of total population","Total","3.0",""
"2006","Greece","Total","Percentage of total population","Total","5.3",""
"2006","Spain","Total","Percentage of total population","Total","5.4",""
"2006","France","Total","Percentage of total population","Total","5.2",""
"2006","Croatia","Total","Percentage of total population","Total","6.4","d"
"2006","Italy","Total","Percentage of total population","Total","3.7",""
"2006","Cyprus","Total","Percentage of total population","Total","3.1",""
"2006","Latvia","Total","Percentage of total population","Total","4.5",""
"2006","Lithuania","Total","Percentage of total population","Total","3.5",""
"2006","Luxembourg","Total","Percentage of total population","Total","2.8","d"
"2006","Hungary","Total","Percentage of total population","Total","4.1",""
"2006","Malta","Total","Percentage of total population","Total","3.6",""
"2006","Netherlands","Total","Percentage of total population","Total","2.7",""
"2006","Austria","Total","Percentage of total population","Total","3.4",""
"2006","Poland","Total","Percentage of total population","Total","8.0",""
"2006","Portugal","Total","Percentage of total population","Total","5.7",""
"2006","Romania","Total","Percentage of total population","Total","4.3",""
"2006","Slovenia","Total","Percentage of total population","Total","3.8",""
"2006","Slovakia","Total","Percentage of total population","Total","8.4",""
"2006","Finland","Total","Percentage of total population","Total","5.2",""
"2006","Sweden","Total","Percentage of total population","Total","5.0",""
"2006","United Kingdom","Total","Percentage of total population","Total","3.7",""
"2006","Iceland","Total","Percentage of total population","Total","2.3",""
"2006","Norway","Total","Percentage of total population","Total","2.4","b"
"2006","Turkey","Total","Percentage of total population","Total","4.1",""
"2006","United States","Total","Percentage of total population","Total",":",""
"2006","Japan","Total","Percentage of total population","Total",":",""
"2007","European Union (current composition)","Total","Percentage of total population","Total","4.5",""
"2007","European Union (before the accession of Croatia)","Total","Percentage of total population","Total","4.5",""
"2007","Belgium","Total","Percentage of total population","Total","4.5",""
"2007","Bulgaria","Total","Percentage of total population","Total","4.0",""
"2007","Czechia","Total","Percentage of total population","Total","3.4",""
"2007","Denmark","Total","Percentage of total population","Total","2.7",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","5.6",""
"2007","Estonia","Total","Percentage of total population","Total","3.0",""
"2007","Ireland","Total","Percentage of total population","Total","3.5",""
"2007","Greece","Total","Percentage of total population","Total","4.9",""
"2007","Spain","Total","Percentage of total population","Total","5.3",""
"2007","France","Total","Percentage of total population","Total","4.8",""
"2007","Croatia","Total","Percentage of total population","Total","5.7",""
"2007","Italy","Total","Percentage of total population","Total","3.3",""
"2007","Cyprus","Total","Percentage of total population","Total","2.7",""
"2007","Latvia","Total","Percentage of total population","Total","4.0",""
"2007","Lithuania","Total","Percentage of total population","Total","2.6",""
"2007","Luxembourg","Total","Percentage of total population","Total","2.4",""
"2007","Hungary","Total","Percentage of total population","Total","4.1",""
"2007","Malta","Total","Percentage of total population","Total","3.4",""
"2007","Netherlands","Total","Percentage of total population","Total","2.3",""
"2007","Austria","Total","Percentage of total population","Total","3.2",""
"2007","Poland","Total","Percentage of total population","Total","5.5",""
"2007","Portugal","Total","Percentage of total population","Total","6.0",""
"2007","Romania","Total","Percentage of total population","Total","3.8",""
"2007","Slovenia","Total","Percentage of total population","Total","3.1",""
"2007","Slovakia","Total","Percentage of total population","Total","7.0",""
"2007","Finland","Total","Percentage of total population","Total","4.6",""
"2007","Sweden","Total","Percentage of total population","Total","4.4",""
"2007","United Kingdom","Total","Percentage of total population","Total","3.6",""
"2007","Iceland","Total","Percentage of total population","Total","1.9",""
"2007","Norway","Total","Percentage of total population","Total","1.8",""
"2007","Turkey","Total","Percentage of total population","Total","4.2","b"
"2007","United States","Total","Percentage of total population","Total",":",""
"2007","Japan","Total","Percentage of total population","Total",":",""
"2008","European Union (current composition)","Total","Percentage of total population","Total","4.4",""
"2008","European Union (before the accession of Croatia)","Total","Percentage of total population","Total","4.4",""
"2008","Belgium","Total","Percentage of total population","Total","4.2",""
"2008","Bulgaria","Total","Percentage of total population","Total","3.4",""
"2008","Czechia","Total","Percentage of total population","Total","2.8",""
"2008","Denmark","Total","Percentage of total population","Total","2.5",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","4.9",""
"2008","Estonia","Total","Percentage of total population","Total","3.7","d"
"2008","Ireland","Total","Percentage of total population","Total","4.8",""
"2008","Greece","Total","Percentage of total population","Total","4.6",""
"2008","Spain","Total","Percentage of total population","Total","7.4",""
"2008","France","Total","Percentage of total population","Total","4.4",""
"2008","Croatia","Total","Percentage of total population","Total","5.0",""
"2008","Italy","Total","Percentage of total population","Total","3.7",""
"2008","Cyprus","Total","Percentage of total population","Total","2.5",""
"2008","Latvia","Total","Percentage of total population","Total","5.2",""
"2008","Lithuania","Total","Percentage of total population","Total","3.6",""
"2008","Luxembourg","Total","Percentage of total population","Total","3.0",""
"2008","Hungary","Total","Percentage of total population","Total","4.2","d"
"2008","Malta","Total","Percentage of total population","Total","3.2",""
"2008","Netherlands","Total","Percentage of total population","Total","2.0",""
"2008","Austria","Total","Percentage of total population","Total","2.7",""
"2008","Poland","Total","Percentage of total population","Total","4.1",""
"2008","Portugal","Total","Percentage of total population","Total","5.7",""
"2008","Romania","Total","Percentage of total population","Total","3.4",""
"2008","Slovenia","Total","Percentage of total population","Total","2.8",""
"2008","Slovakia","Total","Percentage of total population","Total","6.0",""
"2008","Finland","Total","Percentage of total population","Total","4.3",""
"2008","Sweden","Total","Percentage of total population","Total","4.4",""
"2008","United Kingdom","Total","Percentage of total population","Total","3.9",""
"2008","Iceland","Total","Percentage of total population","Total","2.4",""
"2008","Norway","Total","Percentage of total population","Total","1.9",""
"2008","Turkey","Total","Percentage of total population","Total","4.7",""
"2008","United States","Total","Percentage of total population","Total",":",""
"2008","Japan","Total","Percentage of total population","Total",":",""
"2009","European Union (current composition)","Total","Percentage of total population","Total","5.6",""
"2009","European Union (before the accession of Croatia)","Total","Percentage of total population","Total","5.6",""
"2009","Belgium","Total","Percentage of total population","Total","4.7",""
"2009","Bulgaria","Total","Percentage of total population","Total","4.0",""
"2009","Czechia","Total","Percentage of total population","Total","4.2",""
"2009","Denmark","Total","Percentage of total population","Total","4.3",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","5.1",""
"2009","Estonia","Total","Percentage of total population","Total","9.0",""
"2009","Ireland","Total","Percentage of total population","Total","8.6",""
"2009","Greece","Total","Percentage of total population","Total","5.7",""
"2009","Spain","Total","Percentage of total population","Total","11.7",""
"2009","France","Total","Percentage of total population","Total","5.5",""
"2009","Croatia","Total","Percentage of total population","Total","5.4",""
"2009","Italy","Total","Percentage of total population","Total","4.2",""
"2009","Cyprus","Total","Percentage of total population","Total","3.6",""
"2009","Latvia","Total","Percentage of total population","Total","11.5",""
"2009","Lithuania","Total","Percentage of total population","Total","8.6",""
"2009","Luxembourg","Total","Percentage of total population","Total","3.1",""
"2009","Hungary","Total","Percentage of total population","Total","5.4",""
"2009","Malta","Total","Percentage of total population","Total","3.7",""
"2009","Netherlands","Total","Percentage of total population","Total","2.5",""
"2009","Austria","Total","Percentage of total population","Total","3.5",""
"2009","Poland","Total","Percentage of total population","Total","4.8","d"
"2009","Portugal","Total","Percentage of total population","Total","7.0",""
"2009","Romania","Total","Percentage of total population","Total","4.0",""
"2009","Slovenia","Total","Percentage of total population","Total","3.8",""
"2009","Slovakia","Total","Percentage of total population","Total","7.6",""
"2009","Finland","Total","Percentage of total population","Total","5.5",""
"2009","Sweden","Total","Percentage of total population","Total","5.9",""
"2009","United Kingdom","Total","Percentage of total population","Total","5.2",""
"2009","Iceland","Total","Percentage of total population","Total","5.8",""
"2009","Norway","Total","Percentage of total population","Total","2.3",""
"2009","Turkey","Total","Percentage of total population","Total","6.1",""
"2009","United States","Total","Percentage of total population","Total",":",""
"2009","Japan","Total","Percentage of total population","Total",":",""
"2010","European Union (current composition)","Total","Percentage of total population","Total","6.1",""
"2010","European Union (before the accession of Croatia)","Total","Percentage of total population","Total","6.0",""
"2010","Belgium","Total","Percentage of total population","Total","5.0",""
"2010","Bulgaria","Total","Percentage of total population","Total","6.0","d"
"2010","Czechia","Total","Percentage of total population","Total","4.6",""
"2010","Denmark","Total","Percentage of total population","Total","5.3",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","4.6",""
"2010","Estonia","Total","Percentage of total population","Total","11.1",""
"2010","Ireland","Total","Percentage of total population","Total","9.7",""
"2010","Greece","Total","Percentage of total population","Total","7.6",""
"2010","Spain","Total","Percentage of total population","Total","13.1",""
"2010","France","Total","Percentage of total population","Total","5.6",""
"2010","Croatia","Total","Percentage of total population","Total","6.7",""
"2010","Italy","Total","Percentage of total population","Total","4.6",""
"2010","Cyprus","Total","Percentage of total population","Total","4.3",""
"2010","Latvia","Total","Percentage of total population","Total","12.6",""
"2010","Lithuania","Total","Percentage of total population","Total","11.1",""
"2010","Luxembourg","Total","Percentage of total population","Total","2.7",""
"2010","Hungary","Total","Percentage of total population","Total","6.1",""
"2010","Malta","Total","Percentage of total population","Total","3.7",""
"2010","Netherlands","Total","Percentage of total population","Total","3.1",""
"2010","Austria","Total","Percentage of total population","Total","3.2",""
"2010","Poland","Total","Percentage of total population","Total","5.8",""
"2010","Portugal","Total","Percentage of total population","Total","8.0",""
"2010","Romania","Total","Percentage of total population","Total","4.2",""
"2010","Slovenia","Total","Percentage of total population","Total","4.7",""
"2010","Slovakia","Total","Percentage of total population","Total","9.1",""
"2010","Finland","Total","Percentage of total population","Total","5.6",""
"2010","Sweden","Total","Percentage of total population","Total","6.1",""
"2010","United Kingdom","Total","Percentage of total population","Total","5.3",""
"2010","Iceland","Total","Percentage of total population","Total","6.1",""
"2010","Norway","Total","Percentage of total population","Total","2.5",""
"2010","Turkey","Total","Percentage of total population","Total","5.3",""
"2010","United States","Total","Percentage of total population","Total",":",""
"2010","Japan","Total","Percentage of total population","Total",":",""
"2011","European Union (current composition)","Total","Percentage of total population","Total","6.1",""
"2011","European Union (before the accession of Croatia)","Total","Percentage of total population","Total","6.1",""
"2011","Belgium","Total","Percentage of total population","Total","4.2",""
"2011","Bulgaria","Total","Percentage of total population","Total","6.5",""
"2011","Czechia","Total","Percentage of total population","Total","4.2",""
"2011","Denmark","Total","Percentage of total population","Total","5.3",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","3.9",""
"2011","Estonia","Total","Percentage of total population","Total","8.3",""
"2011","Ireland","Total","Percentage of total population","Total","10.2",""
"2011","Greece","Total","Percentage of total population","Total","10.6",""
"2011","Spain","Total","Percentage of total population","Total","14.2",""
"2011","France","Total","Percentage of total population","Total","5.5",""
"2011","Croatia","Total","Percentage of total population","Total","7.8",""
"2011","Italy","Total","Percentage of total population","Total","4.6",""
"2011","Cyprus","Total","Percentage of total population","Total","5.3",""
"2011","Latvia","Total","Percentage of total population","Total","10.4",""
"2011","Lithuania","Total","Percentage of total population","Total","9.8",""
"2011","Luxembourg","Total","Percentage of total population","Total","3.0",""
"2011","Hungary","Total","Percentage of total population","Total","6.1",""
"2011","Malta","Total","Percentage of total population","Total","3.5",""
"2011","Netherlands","Total","Percentage of total population","Total","3.5",""
"2011","Austria","Total","Percentage of total population","Total","3.0",""
"2011","Poland","Total","Percentage of total population","Total","5.8",""
"2011","Portugal","Total","Percentage of total population","Total","8.6",""
"2011","Romania","Total","Percentage of total population","Total","4.2",""
"2011","Slovenia","Total","Percentage of total population","Total","5.2",""
"2011","Slovakia","Total","Percentage of total population","Total","8.6","d"
"2011","Finland","Total","Percentage of total population","Total","5.2",""
"2011","Sweden","Total","Percentage of total population","Total","5.5",""
"2011","United Kingdom","Total","Percentage of total population","Total","5.5",""
"2011","Iceland","Total","Percentage of total population","Total","5.6",""
"2011","Norway","Total","Percentage of total population","Total","2.3",""
"2011","Turkey","Total","Percentage of total population","Total","4.5",""
"2011","United States","Total","Percentage of total population","Total",":",""
"2011","Japan","Total","Percentage of total population","Total",":",""
"2012","European Union (current composition)","Total","Percentage of total population","Total","6.7",""
"2012","European Union (before the accession of Croatia)","Total","Percentage of total population","Total","6.6",""
"2012","Belgium","Total","Percentage of total population","Total","4.5",""
"2012","Bulgaria","Total","Percentage of total population","Total","7.2",""
"2012","Czechia","Total","Percentage of total population","Total","4.4",""
"2012","Denmark","Total","Percentage of total population","Total","5.2",""
"2012","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","3.6",""
"2012","Estonia","Total","Percentage of total population","Total","6.8",""
"2012","Ireland","Total","Percentage of total population","Total","10.2",""
"2012","Greece","Total","Percentage of total population","Total","14.5",""
"2012","Spain","Total","Percentage of total population","Total","16.5",""
"2012","France","Total","Percentage of total population","Total","5.9",""
"2012","Croatia","Total","Percentage of total population","Total","9.1",""
"2012","Italy","Total","Percentage of total population","Total","5.9",""
"2012","Cyprus","Total","Percentage of total population","Total","8.0",""
"2012","Latvia","Total","Percentage of total population","Total","9.9",""
"2012","Lithuania","Total","Percentage of total population","Total","8.6",""
"2012","Luxembourg","Total","Percentage of total population","Total","3.2",""
"2012","Hungary","Total","Percentage of total population","Total","6.2",""
"2012","Malta","Total","Percentage of total population","Total","3.5",""
"2012","Netherlands","Total","Percentage of total population","Total","4.1",""
"2012","Austria","Total","Percentage of total population","Total","3.2",""
"2012","Poland","Total","Percentage of total population","Total","6.1",""
"2012","Portugal","Total","Percentage of total population","Total","10.5",""
"2012","Romania","Total","Percentage of total population","Total","4.1",""
"2012","Slovenia","Total","Percentage of total population","Total","5.6",""
"2012","Slovakia","Total","Percentage of total population","Total","8.8",""
"2012","Finland","Total","Percentage of total population","Total","5.1",""
"2012","Sweden","Total","Percentage of total population","Total","5.7",""
"2012","United Kingdom","Total","Percentage of total population","Total","5.4",""
"2012","Iceland","Total","Percentage of total population","Total","4.8",""
"2012","Norway","Total","Percentage of total population","Total","2.2",""
"2012","Turkey","Total","Percentage of total population","Total","4.2",""
"2012","United States","Total","Percentage of total population","Total",":",""
"2012","Japan","Total","Percentage of total population","Total",":",""
"2013","European Union (current composition)","Total","Percentage of total population","Total","6.9",""
"2013","European Union (before the accession of Croatia)","Total","Percentage of total population","Total","6.9",""
"2013","Belgium","Total","Percentage of total population","Total","5.1",""
"2013","Bulgaria","Total","Percentage of total population","Total","7.7",""
"2013","Czechia","Total","Percentage of total population","Total","4.5",""
"2013","Denmark","Total","Percentage of total population","Total","4.8",""
"2013","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","3.6",""
"2013","Estonia","Total","Percentage of total population","Total","5.9",""
"2013","Ireland","Total","Percentage of total population","Total","9.1",""
"2013","Greece","Total","Percentage of total population","Total","16.3",""
"2013","Spain","Total","Percentage of total population","Total","17.3",""
"2013","France","Total","Percentage of total population","Total","6.3",""
"2013","Croatia","Total","Percentage of total population","Total","9.8",""
"2013","Italy","Total","Percentage of total population","Total","6.7",""
"2013","Cyprus","Total","Percentage of total population","Total","10.7",""
"2013","Latvia","Total","Percentage of total population","Total","7.8",""
"2013","Lithuania","Total","Percentage of total population","Total","7.6",""
